roi	intercept	age_linear	age_quadratic
3rd-Ventricle	391.6777895123029	744.2166400965494	-401.57577451220783
4th-Ventricle	324.38904992865275	1363.222093116316	-624.5410534632994
Brain-Stem	5674.263210778356	11204.193571213864	-4747.201495483077
CSF	-340.19335146980325	2143.2875252212534	-1133.0927511818193
Left-Accumbens-area	112.47078188264669	418.6288538960923	-150.7337378122277
Left-Amygdala	393.93410283074866	844.2013414110913	-241.30230572695652
Left-Caudate	1212.3733999526364	2816.294787812626	-937.9782992648416
Left-Cerebellum-Cortex	5933.472855347565	59770.35279428431	-22999.364477056257
Left-Cerebellum-White-Matter	311.0144145313034	9272.329611909774	-3302.518363491667
Left-Cerebral-Cortex	77488.40996067385	194320.75575589214	-53093.27407746295
Left-Cerebral-White-Matter	78653.49685203799	121846.65183555902	-51329.60470328918
Left-choroid-plexus	10.303058471981927	417.2547836123813	-89.18046920007109
Left-Hippocampus	1009.8272257857093	1760.3642441310517	-516.9449273292895
Left-Inf-Lat-Vent	66.59567135689076	926.7275146359909	-699.0042347729815
Left-Lateral-Ventricle	2265.283556418886	8623.089981951833	-4870.436347958055
Left-Pallidum	351.7068133896872	1993.2836639525974	-800.9891297979148
Left-Putamen	1710.0997413062805	2899.9219112621468	-849.5345680829378
Left-Thalamus-Proper*	5151.806832736536	3774.77736696389	-1778.6033765013372
Left-VentralDC	449.12301501441493	3012.0582498889935	-1038.26842268485
Right-Accumbens-area	113.07617343545385	412.82742930821587	-136.63014466146294
Right-Amygdala	431.7846751168477	816.9145343081493	-240.85458247688808
Right-Caudate	1236.43068093324	2719.697892894863	-795.6100964863821
Right-Cerebellum-Cortex	5399.408198501249	60434.49302151155	-22680.954207907052
Right-Cerebellum-White-Matter	340.95202560823054	9350.792631352331	-3178.8760374507374
Right-Cerebral-Cortex	77774.21965636208	191182.1361070642	-50921.91799525835
Right-Cerebral-White-Matter	79145.31249433284	126297.49595985803	-54297.60993281764
Right-choroid-plexus	-14.63922915804369	515.1964041076448	-77.43281278744875
Right-Hippocampus	1003.7913598337002	1773.840385553584	-590.9720496590593
Right-Inf-Lat-Vent	47.227785419864176	799.6440324284238	-439.7228328843551
Right-Lateral-Ventricle	2196.6630476679757	7421.291989990212	-4351.150321767045
Right-Pallidum	391.65320381501806	1474.5202943500053	-565.3151269302102
Right-Putamen	1686.0043777314709	3419.3291842049857	-1150.6112687654452
Right-Thalamus-Proper*	5256.861416955035	2618.862777496142	-1127.2351222792868
Right-VentralDC	451.49260475292544	3170.3502658569832	-1149.3361525095622
Vermis	2683.034773324271	-1605.6941815684158	-714.3084667275872
